subcategory,product_id,manufacturer,sku,product_name,category,brand,unit_of_measure,standard_cost,minimum_advertisable_price,list_price,weight_lbs,is_active,is_apex,margin_pct,map_headroom_pct,price_hierarchy_valid,has_apex_competitor
hex_bolts,APX-00019,apex,SKU-000019,Apex Pro Hex Bolts 3/8-16 #19,fasteners,Apex Pro,box_of_100,3.18,3.68,4.07,0.198,true,true,21.87,9.58,true,true
hex_bolts,APX-00023,apex,SKU-000023,Apex Pro Hex Bolts 5/8-11 #23,fasteners,Apex Pro,box_of_100,11.72,14.99,18.44,0.652,true,true,36.44,18.71,true,true
hex_bolts,APX-00038,apex,SKU-000038,Apex Pro Hex Bolts 1/2-13 #38,fasteners,Apex Pro,box_of_100,23.21,30.66,33.94,4.833,true,true,31.61,9.66,true,true
hex_bolts,APX-00053,apex,SKU-000053,Apex Pro Hex Bolts M12 #53,fasteners,Apex Pro,box_of_100,4.04,4.84,6.05,4.144,true,true,33.22,20,true,true
hex_bolts,APX-00074,apex,SKU-000074,Apex Pro Hex Bolts M8 #74,fasteners,Apex Pro,box_of_100,4.98,6,6.93,1.687,true,true,28.14,13.42,true,true
screws,APX-00094,apex,SKU-000094,Apex Industrial Screws 3/8-16 #5,fasteners,Apex Industrial,box_of_100,4.54,5.62,6.31,0.233,true,true,28.05,10.94,true,true
screws,APX-00101,apex,SKU-000101,Apex Industrial Screws 3/8-16 #12,fasteners,Apex Industrial,box_of_100,2.87,3.38,4.37,0.272,true,true,34.32,22.65,true,true
screws,APX-00112,apex,SKU-000112,Apex Industrial Screws 5/8-11 #23,fasteners,Apex Industrial,box_of_100,7.13,8.52,10.98,1.408,true,true,35.06,22.4,true,true
screws,APX-00151,apex,SKU-000151,Apex Industrial Screws 3/8-16 #62,fasteners,Apex Industrial,box_of_100,10.95,14.78,16.6,0.15,true,true,34.04,10.96,true,true
screws,APX-00173,apex,SKU-000173,Apex Industrial Screws 3/8-16 #84,fasteners,Apex Industrial,box_of_100,7.87,9.65,11.73,7.632,true,true,32.91,17.73,true,true
screws,APX-00175,apex,SKU-000175,Apex Industrial Screws M12 #86,fasteners,Apex Industrial,box_of_100,10.58,12.28,15.32,0.652,true,true,30.94,19.84,true,true
nuts_washers,APX-00185,apex,SKU-000185,Apex Industrial Nuts Washers M6 #10,fasteners,Apex Industrial,box_of_100,7.7,9.97,12.55,2.347,true,true,38.65,20.56,true,true
nuts_washers,APX-00192,apex,SKU-000192,Apex Industrial Nuts Washers M6 #17,fasteners,Apex Industrial,box_of_100,10.4,12.98,16.11,0.918,false,true,35.44,19.43,true,true
nuts_washers,APX-00224,apex,SKU-000224,Apex Industrial Nuts Washers 1/4-20 #49,fasteners,Apex Industrial,box_of_100,2.8,3.75,4.66,0.18,false,true,39.91,19.53,true,true
nuts_washers,APX-00225,apex,SKU-000225,Apex Industrial Nuts Washers 1/4-20 #50,fasteners,Apex Industrial,box_of_100,10.32,12.09,14.26,1.756,true,true,27.63,15.22,true,true
nuts_washers,APX-00229,apex,SKU-000229,Apex Industrial Nuts Washers 3/8-16 #54,fasteners,Apex Industrial,box_of_100,5.99,7.42,9.02,0.243,true,true,33.59,17.74,true,true
nuts_washers,APX-00245,apex,SKU-000245,Apex Industrial Nuts Washers M10 #70,fasteners,Apex Industrial,box_of_100,4.33,5.14,6.06,0.776,true,true,28.55,15.18,true,true
anchors,APX-00278,apex,SKU-000278,Apex Pro Anchors 1/4-20 #19,fasteners,Apex Pro,box_of_100,4.27,5.07,6.12,2.865,true,true,30.23,17.16,true,true
anchors,APX-00293,apex,SKU-000293,Apex Pro Anchors M12 #34,fasteners,Apex Pro,box_of_100,19.76,23,25.38,1.254,true,true,22.14,9.38,true,true
anchors,APX-00329,apex,SKU-000329,Apex Pro Anchors M6 #70,fasteners,Apex Pro,box_of_100,6.35,7.91,9.5,0.191,true,true,33.16,16.74,true,true
anchors,APX-00337,apex,SKU-000337,Apex Pro Anchors M10 #78,fasteners,Apex Pro,box_of_100,30.83,38.47,42.9,1.67,true,true,28.14,10.33,true,true
anchors,APX-00344,apex,SKU-000344,Apex Pro Anchors M6 #85,fasteners,Apex Pro,box_of_100,5.99,7.05,8.53,1.096,true,true,29.78,17.35,true,true
rivets,APX-00351,apex,SKU-000351,Apex Industrial Rivets 3/8-16 #3,fasteners,Apex Industrial,box_of_100,8.24,9.65,11.72,0.508,true,true,29.69,17.66,true,true
rivets,APX-00358,apex,SKU-000358,Apex Industrial Rivets 3/8-16 #10,fasteners,Apex Industrial,box_of_100,5.57,7.15,8.44,0.744,true,true,34,15.28,true,true
rivets,APX-00375,apex,SKU-000375,Apex Industrial Rivets 1/2-13 #27,fasteners,Apex Industrial,box_of_100,11.55,13.32,15.38,3.747,true,true,24.9,13.39,true,true
rivets,APX-00379,apex,SKU-000379,Apex Industrial Rivets M6 #31,fasteners,Apex Industrial,box_of_100,6.71,8.98,10.65,0.91,true,true,37,15.68,true,true
rivets,APX-00387,apex,SKU-000387,Apex Industrial Rivets 3/8-16 #39,fasteners,Apex Industrial,box_of_100,14.16,18.07,19.96,0.894,true,true,29.06,9.47,true,true
rivets,APX-00388,apex,SKU-000388,Apex Industrial Rivets M10 #40,fasteners,Apex Industrial,box_of_100,6.94,8.36,10.49,0.292,true,true,33.84,20.31,true,true
rivets,APX-00405,apex,SKU-000405,Apex Industrial Rivets M12 #57,fasteners,Apex Industrial,box_of_100,4.11,4.93,5.78,3.322,true,true,28.89,14.71,true,true
epoxy,APX-00438,apex,SKU-000438,Apex Prime Epoxy 1/4-20 #16,adhesives,Apex Prime,each,3.5,4.61,5.64,0.46,true,true,37.94,18.26,true,true
structural,APX-00517,apex,SKU-000517,Apex Pro Structural M6 #14,adhesives,Apex Pro,each,7.08,9.53,11.77,0.201,true,true,39.85,19.03,true,true
structural,APX-00545,apex,SKU-000545,Apex Pro Structural M12 #42,adhesives,Apex Pro,each,6.36,8.18,10.46,0.717,false,true,39.2,21.8,true,true
structural,APX-00576,apex,SKU-000576,Apex Pro Structural M6 #73,adhesives,Apex Pro,each,5,6.21,7.93,3.333,true,true,36.95,21.69,true,true
tape,APX-00586,apex,SKU-000586,Apex Prime Tape M12 #1,adhesives,Apex Prime,each,2.55,2.94,3.33,1.661,true,true,23.42,11.71,true,true
tape,APX-00589,apex,SKU-000589,Apex Prime Tape M12 #4,adhesives,Apex Prime,each,7.19,8.76,9.92,0.756,true,true,27.52,11.69,true,true
tape,APX-00642,apex,SKU-000642,Apex Prime Tape M10 #57,adhesives,Apex Prime,each,36.55,43.65,53.2,0.751,true,true,31.3,17.95,true,true
tape,APX-00659,apex,SKU-000659,Apex Prime Tape 1/2-13 #74,adhesives,Apex Prime,each,4.49,5.79,7.39,0.535,false,true,39.24,21.65,true,true
sealant,APX-00678,apex,SKU-000678,Apex Elite Sealant 5/8-11 #15,adhesives,Apex Elite,each,7.87,9.72,11.17,0.94,true,true,29.54,12.98,true,true
sealant,APX-00691,apex,SKU-000691,Apex Elite Sealant M10 #28,adhesives,Apex Elite,each,2.9,3.5,4.45,4.417,true,true,34.83,21.35,true,true
sealant,APX-00704,apex,SKU-000704,Apex Elite Sealant 1/4-20 #41,adhesives,Apex Elite,each,5.71,6.88,7.57,1.138,true,true,24.57,9.11,true,true
sealant,APX-00719,apex,SKU-000719,Apex Elite Sealant 3/8-16 #56,adhesives,Apex Elite,each,22.85,28.37,34.01,0.791,true,true,32.81,16.58,true,true
spray,APX-00737,apex,SKU-000737,Apex Elite Spray 5/8-11 #3,adhesives,Apex Elite,each,7.86,10.43,13.09,1.22,false,true,39.95,20.32,true,true
spray,APX-00751,apex,SKU-000751,Apex Elite Spray M8 #17,adhesives,Apex Elite,each,5.34,6.57,8.28,0.371,false,true,35.51,20.65,true,true
spray,APX-00757,apex,SKU-000757,Apex Elite Spray M6 #23,adhesives,Apex Elite,each,11.25,14.41,16.66,1.936,true,true,32.47,13.51,true,true
spray,APX-00764,apex,SKU-000764,Apex Elite Spray M12 #30,adhesives,Apex Elite,each,2.93,3.65,4.23,0.172,true,true,30.73,13.71,true,true
spray,APX-00773,apex,SKU-000773,Apex Elite Spray M12 #39,adhesives,Apex Elite,each,8.71,10.81,13.65,1.491,true,true,36.19,20.81,true,true
spray,APX-00792,apex,SKU-000792,Apex Elite Spray M10 #58,adhesives,Apex Elite,each,23.4,30.09,36.3,0.825,true,true,35.54,17.11,true,true
hex_bolts,APX-00037,apex,SKU-000037,Apex Pro Hex Bolts M12 #37,fasteners,Apex Pro,box_of_100,4.69,5.89,7.27,2.654,true,true,35.49,18.98,true,true
hex_bolts,APX-00050,apex,SKU-000050,Apex Pro Hex Bolts M12 #50,fasteners,Apex Pro,box_of_100,31.97,38.31,42.61,1.251,true,true,24.97,10.09,true,true
hex_bolts,APX-00056,apex,SKU-000056,Apex Pro Hex Bolts 5/8-11 #56,fasteners,Apex Pro,box_of_100,2.9,3.52,4.04,0.081,true,true,28.22,12.87,true,true
hex_bolts,APX-00088,apex,SKU-000088,Apex Pro Hex Bolts M6 #88,fasteners,Apex Pro,box_of_100,9.65,11.85,14.35,1.275,true,true,32.75,17.42,true,true
screws,APX-00091,apex,SKU-000091,Apex Industrial Screws 1/4-20 #2,fasteners,Apex Industrial,box_of_100,11.36,14.4,16.26,20.734,true,true,30.14,11.44,true,true
screws,APX-00109,apex,SKU-000109,Apex Industrial Screws 1/4-20 #20,fasteners,Apex Industrial,box_of_100,11.43,14.55,16.85,2.482,true,true,32.17,13.65,true,true
screws,APX-00125,apex,SKU-000125,Apex Industrial Screws 1/4-20 #36,fasteners,Apex Industrial,box_of_100,13.78,18.15,21.87,1.795,true,true,36.99,17.01,true,true
screws,APX-00138,apex,SKU-000138,Apex Industrial Screws M8 #49,fasteners,Apex Industrial,box_of_100,11.79,14.52,17.58,0.156,true,true,32.94,17.41,true,true
screws,APX-00139,apex,SKU-000139,Apex Industrial Screws 5/8-11 #50,fasteners,Apex Industrial,box_of_100,10.17,12.84,15.26,2.863,true,true,33.36,15.86,true,true
screws,APX-00157,apex,SKU-000157,Apex Industrial Screws M10 #68,fasteners,Apex Industrial,box_of_100,17.52,22.83,28.73,0.784,true,true,39.02,20.54,true,true
anchors,APX-00260,apex,SKU-000260,Apex Pro Anchors M8 #1,fasteners,Apex Pro,box_of_100,5.42,6.71,8.02,0.906,true,true,32.42,16.33,true,true
anchors,APX-00265,apex,SKU-000265,Apex Pro Anchors M6 #6,fasteners,Apex Pro,box_of_100,5.49,7.11,8,0.441,true,true,31.37,11.12,true,true
anchors,APX-00269,apex,SKU-000269,Apex Pro Anchors 3/8-16 #10,fasteners,Apex Pro,box_of_100,13.74,16.09,19.68,4.344,true,true,30.18,18.24,true,true
anchors,APX-00275,apex,SKU-000275,Apex Pro Anchors 1/4-20 #16,fasteners,Apex Pro,box_of_100,3.3,3.91,4.6,31.628,true,true,28.26,15,true,true
anchors,APX-00281,apex,SKU-000281,Apex Pro Anchors M6 #22,fasteners,Apex Pro,box_of_100,12.01,15.63,20.31,0.414,true,true,40.87,23.04,true,true
anchors,APX-00289,apex,SKU-000289,Apex Pro Anchors M8 #30,fasteners,Apex Pro,box_of_100,6.64,8.72,9.6,3.974,true,true,30.83,9.17,true,true
anchors,APX-00291,apex,SKU-000291,Apex Pro Anchors M10 #32,fasteners,Apex Pro,box_of_100,2.85,3.39,4.1,1.488,true,true,30.49,17.32,true,true
anchors,APX-00292,apex,SKU-000292,Apex Pro Anchors M8 #33,fasteners,Apex Pro,box_of_100,4.33,5.78,6.48,0.383,true,true,33.18,10.8,true,true
anchors,APX-00310,apex,SKU-000310,Apex Pro Anchors M12 #51,fasteners,Apex Pro,box_of_100,8.11,9.71,10.74,1.603,true,true,24.49,9.59,true,true
anchors,APX-00318,apex,SKU-000318,Apex Pro Anchors M12 #59,fasteners,Apex Pro,box_of_100,6.4,8.19,9.08,0.554,true,true,29.52,9.8,true,true
anchors,APX-00346,apex,SKU-000346,Apex Pro Anchors 3/8-16 #87,fasteners,Apex Pro,box_of_100,13.85,16.84,19.18,1.078,true,true,27.79,12.2,true,true
anchors,APX-00348,apex,SKU-000348,Apex Pro Anchors M6 #89,fasteners,Apex Pro,box_of_100,15.28,18.11,20.72,0.992,true,true,26.25,12.6,true,true
rivets,APX-00356,apex,SKU-000356,Apex Industrial Rivets 1/4-20 #8,fasteners,Apex Industrial,box_of_100,27.49,37.09,43.38,1.549,true,true,36.63,14.5,true,true
rivets,APX-00378,apex,SKU-000378,Apex Industrial Rivets 5/8-11 #30,fasteners,Apex Industrial,box_of_100,6.32,8.02,9.52,1.304,true,true,33.61,15.76,true,true
rivets,APX-00383,apex,SKU-000383,Apex Industrial Rivets 1/2-13 #35,fasteners,Apex Industrial,box_of_100,14.8,19.47,21.7,1.167,true,true,31.8,10.28,true,true
rivets,APX-00389,apex,SKU-000389,Apex Industrial Rivets M8 #41,fasteners,Apex Industrial,box_of_100,1.82,2.25,2.76,1.657,true,true,34.06,18.48,true,true
rivets,APX-00391,apex,SKU-000391,Apex Industrial Rivets M6 #43,fasteners,Apex Industrial,box_of_100,8.53,10.43,11.79,4.985,true,true,27.65,11.54,true,true
rivets,APX-00393,apex,SKU-000393,Apex Industrial Rivets 1/4-20 #45,fasteners,Apex Industrial,box_of_100,0.89,1.07,1.27,0.789,true,true,29.92,15.75,true,true
rivets,APX-00398,apex,SKU-000398,Apex Industrial Rivets M12 #50,fasteners,Apex Industrial,box_of_100,10.6,14.14,16.71,1.505,true,true,36.56,15.38,true,true
rivets,APX-00400,apex,SKU-000400,Apex Industrial Rivets M10 #52,fasteners,Apex Industrial,box_of_100,4.56,5.51,6.9,0.679,true,true,33.91,20.14,true,true
rivets,APX-00411,apex,SKU-000411,Apex Industrial Rivets M8 #63,fasteners,Apex Industrial,box_of_100,41.38,47.64,60.55,1.198,true,true,31.66,21.32,true,true
rivets,APX-00414,apex,SKU-000414,Apex Industrial Rivets M10 #66,fasteners,Apex Industrial,box_of_100,10.52,13.73,16.89,0.842,true,true,37.71,18.71,true,true
epoxy,APX-00437,apex,SKU-000437,Apex Prime Epoxy 1/2-13 #15,adhesives,Apex Prime,each,2.39,3.17,3.8,1.421,true,true,37.11,16.58,true,true
epoxy,APX-00442,apex,SKU-000442,Apex Prime Epoxy M10 #20,adhesives,Apex Prime,each,1.97,2.64,2.97,1.457,true,true,33.67,11.11,true,true
epoxy,APX-00469,apex,SKU-000469,Apex Prime Epoxy M12 #47,adhesives,Apex Prime,each,8.87,10.96,12.61,2.123,true,true,29.66,13.08,true,true
epoxy,APX-00477,apex,SKU-000477,Apex Prime Epoxy M12 #55,adhesives,Apex Prime,each,9.91,13.19,16.96,0.205,true,true,41.57,22.23,true,true
epoxy,APX-00484,apex,SKU-000484,Apex Prime Epoxy 1/4-20 #62,adhesives,Apex Prime,each,6.79,9.14,10.9,0.471,true,true,37.71,16.15,true,true
epoxy,APX-00491,apex,SKU-000491,Apex Prime Epoxy M10 #69,adhesives,Apex Prime,each,24.77,30.68,37.79,0.733,true,true,34.45,18.81,true,true
epoxy,APX-00495,apex,SKU-000495,Apex Prime Epoxy 5/8-11 #73,adhesives,Apex Prime,each,37.27,44.16,56.8,1.749,true,true,34.38,22.25,true,true
epoxy,APX-00498,apex,SKU-000498,Apex Prime Epoxy M8 #76,adhesives,Apex Prime,each,8.14,9.52,11.68,0.305,true,true,30.31,18.49,true,true
structural,APX-00533,apex,SKU-000533,Apex Pro Structural M6 #30,adhesives,Apex Pro,each,12.04,14.47,18.5,1.429,true,true,34.92,21.78,true,true
structural,APX-00544,apex,SKU-000544,Apex Pro Structural 5/8-11 #41,adhesives,Apex Pro,each,7.79,9.97,11.61,1.586,true,true,32.9,14.13,true,true
structural,APX-00555,apex,SKU-000555,Apex Pro Structural M8 #52,adhesives,Apex Pro,each,2.35,2.92,3.69,0.578,true,true,36.31,20.87,true,true
structural,APX-00562,apex,SKU-000562,Apex Pro Structural M6 #59,adhesives,Apex Pro,each,3.61,4.33,5.22,4.209,true,true,30.84,17.05,true,true
structural,APX-00569,apex,SKU-000569,Apex Pro Structural M8 #66,adhesives,Apex Pro,each,18.5,24.33,30.24,1.033,true,true,38.82,19.54,true,true
tape,APX-00591,apex,SKU-000591,Apex Prime Tape M8 #6,adhesives,Apex Prime,each,7.18,9.62,11.51,1.913,true,true,37.62,16.42,true,true
tape,APX-00597,apex,SKU-000597,Apex Prime Tape M12 #12,adhesives,Apex Prime,each,7.09,9.4,11.92,4.728,true,true,40.52,21.14,true,true
tape,APX-00603,apex,SKU-000603,Apex Prime Tape M10 #18,adhesives,Apex Prime,each,11.7,13.77,16.72,1.369,true,true,30.02,17.64,true,true
tape,APX-00609,apex,SKU-000609,Apex Prime Tape M10 #24,adhesives,Apex Prime,each,1.72,2.23,2.48,2.855,true,true,30.65,10.08,true,true
tape,APX-00660,apex,SKU-000660,Apex Prime Tape 1/2-13 #75,adhesives,Apex Prime,each,16.36,19.74,22.52,0.992,true,true,27.35,12.34,true,true
tape,APX-00662,apex,SKU-000662,Apex Prime Tape 3/8-16 #77,adhesives,Apex Prime,each,13.56,17.97,20.76,2.444,true,true,34.68,13.44,true,true
sealant,APX-00677,apex,SKU-000677,Apex Elite Sealant M10 #14,adhesives,Apex Elite,each,5.6,7.12,9.24,1.762,true,true,39.39,22.94,true,true
sealant,APX-00683,apex,SKU-000683,Apex Elite Sealant 1/2-13 #20,adhesives,Apex Elite,each,6.08,7.04,9.07,0.447,true,true,32.97,22.38,true,true
sealant,APX-00685,apex,SKU-000685,Apex Elite Sealant 3/8-16 #22,adhesives,Apex Elite,each,3.84,4.98,6.13,4.74,true,true,37.36,18.76,true,true
sealant,APX-00701,apex,SKU-000701,Apex Elite Sealant 1/4-20 #38,adhesives,Apex Elite,each,15.19,17.79,22.65,4.135,true,true,32.94,21.46,true,true
sealant,APX-00714,apex,SKU-000714,Apex Elite Sealant M8 #51,adhesives,Apex Elite,each,8.05,9.96,12.73,0.503,true,true,36.76,21.76,true,true
spray,APX-00752,apex,SKU-000752,Apex Elite Spray 5/8-11 #18,adhesives,Apex Elite,each,5.21,6.27,7.66,4.554,true,true,31.98,18.15,true,true
spray,APX-00761,apex,SKU-000761,Apex Elite Spray M8 #27,adhesives,Apex Elite,each,33.04,39.79,49.41,0.247,true,true,33.13,19.47,true,true
spray,APX-00784,apex,SKU-000784,Apex Elite Spray 1/4-20 #50,adhesives,Apex Elite,each,5.48,6.77,8.41,0.427,true,true,34.84,19.5,true,true
spray,APX-00800,apex,SKU-000800,Apex Elite Spray 5/8-11 #66,adhesives,Apex Elite,each,35.71,47.18,60.9,0.64,true,true,41.36,22.53,true,true
hex_bolts,APX-00073,apex,SKU-000073,Apex Pro Hex Bolts M12 #73,fasteners,Apex Pro,box_of_100,3.79,4.86,5.78,0.888,true,true,34.43,15.92,true,true
screws,APX-00098,apex,SKU-000098,Apex Industrial Screws M8 #9,fasteners,Apex Industrial,box_of_100,14.74,17.75,21.26,0.373,true,true,30.67,16.51,true,true
screws,APX-00114,apex,SKU-000114,Apex Industrial Screws 1/2-13 #25,fasteners,Apex Industrial,box_of_100,9.63,11.73,14.83,0.064,true,true,35.06,20.9,true,true
